product_name,price,star,number_rating,availability
PlayStation 5 Digital Edition,$399.99,4.8 out of 5 stars,378 ratings,In Stock
PS5 Digital Edition – God of War Ragnarök Bundle,$459.99,4.8 out of 5 stars,639 ratings,In Stock
PlayStation 5 Console CFI-1215A01X,$499.00,4.8 out of 5 stars,"1,641 ratings",In Stock
PlayStation 5 Digital Edition (Renewed),Page 1 of 1,3.6 out of 5 stars,5 ratings,
PlayStation 5 Console (Renewed),Page 1 of 1,4.1 out of 5 stars,163 ratings,
PlayStation 5 Pulse 3D Wireless Headset,$106.99,4.7 out of 5 stars,"18,792 ratings",
PlayStation 5 Pulse 3D Wireless Headset,$106.99,4.7 out of 5 stars,"18,792 ratings",
EXOPRIMAL - PlayStation 5,$59.99,Previous page of related Sponsored Products,,"This item will be released on July 14, 2023."
PlayStation 5 Digital Edition,Page 1 of 1,4.9 out of 5 stars,"7,189 ratings",
PlayStation 5 Digital Edition - CFI-1102B,Page 1 of 1,4.9 out of 5 stars,644 ratings,
PlayStation 5 Console CFI-1102A,Page 1 of 1,4.9 out of 5 stars,"7,145 ratings",
PlayStation PS5 Console – God of War Ragnarök Bundle,$559.00,4.8 out of 5 stars,"5,737 ratings",In Stock
PlayStation 5 Console CFI-1215A01X,$499.00,4.8 out of 5 stars,"1,641 ratings",In Stock
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),Page 1 of 1,4.5 out of 5 stars,"1,253 ratings",
PlayStation 4 Slim 1TB Console - Black (Renewed),$318.99,4.5 out of 5 stars,"1,213 ratings",
Sony PlayStation 2 Console - Black (Renewed),$192.95,4.3 out of 5 stars,"1,114 ratings",
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,$699.99,4.3 out of 5 stars,"1,036 ratings",
PlayStation 2 Slim Console PS2 (Renewed),$219.00,4.2 out of 5 stars,948 ratings,
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",$346.00,4.7 out of 5 stars,331 ratings,
Playstation 2 Console - Black (Renewed),$204.95,4.2 out of 5 stars,312 ratings,
PlayStation 4 Slim 1TB Console - Marvels Spider-Man Bundle (Renewed),$376.97,4.4 out of 5 stars,308 ratings,
PlayStation 5 Digital Edition,$399.99,4.8 out of 5 stars,378 ratings,In Stock
"PS5 Stand and Cooling Station with Dual Controller Charging Station for Playstation 5 Console, PS5 Accessories Incl. Controller Charger, Cooling fan, Headset holder, 3 USB Hub, Media Slot, Screw White",$39.99,4.4 out of 5 stars,"1,672 ratings",
"PS5 Controller Charging Station for Playstation 5 Dualsense Controller with Dual Stand Charger Dock, Upgrade PS5 Controller Charger Accessories Incl. Fast Charging Cable, PS5 Charging Station White",$29.99,4.7 out of 5 stars,"1,103 ratings",
"PS5 Stand with 2 Cooling Fan, Dual Fast PS5 Controller Charging Station with 3 Extra USB Ports, PS5 Cooling Station PS5 Accessories Vertical Stand for Sony Playstation 5 Dualsense/Digital/Disc Edition",$49.99,4.3 out of 5 stars,"1,082 ratings",
AudioQuest - Dragon eARC HDMI (1.5m),"$1,395.00",5.0 out of 5 stars,2 ratings,
"Disc Edition Face Plates Cover Skins Shell Panels for PS5 Console, Playstation 5 Accessories Faceplate Protective Shell Replacement Plate Dustproof Anti-Scratch (Disc Starlight Blue)",Page 1 of 1,4.4 out of 5 stars,69 ratings,
Mmoptop PS5 Skin Disc Edition Anime Console and Controller Vinyl Cover Skins Wraps for Playstation 5 Disc Version,$20.97,4.6 out of 5 stars,400 ratings,
"PDP AIRLITE Headset with Mic for PS5, PS4, PC - Frost White",$24.88,4.4 out of 5 stars,"4,436 ratings",In Stock
"Arcade Fight Stick Street Fighter Arcade Joystick Keyboard control Fighting box PXN X8 For Nintendo Switch/PS4/PS3/XBOX Series X/S/XBOX S/X,PC",$69.99,4.2 out of 5 stars,19 ratings,
"PS5 Stand with PS5 Controller Charging Station Cooling Station for Playstation 5 PS5 Console Disc/Digital Edition, PS5 Accessories-Cooler Fan/Remote Charger/Media&Headset Holder/3-USB Hub/Screw White",Page 1 of 1,4.5 out of 5 stars,124 ratings,
